Year,Area_Type,State_UT,Crime_Category,Crime_Subcategory,Victim_Gender,Victim_Age_Group,Cases_Reported,Cases_Solved,Cases_Pending,Cases_Investigated,Cases_Not_Investigated
2005,Urban,Manipur,Crime Against Women,Rape,Female,31-45,7012,2788,4224,5752,1260
2001,Rural,Tamil Nadu,Property Crime,Burglary,Female,18-30,5077,2172,2905,4897,180
2002,Urban,Uttarakhand,Crime Against Children,Trafficking,Male,18-30,173,98,75,138,35
2009,Urban,Mizoram,Crime Against Children,Child Abuse,Male,31-45,4250,143,4107,2068,2182
2001,Rural,Delhi,Property Crime,Theft,Female,60+,8702,6330,2372,7229,1473
2001,Urban,Tripura,Property Crime,Burglary,Male,0-12,4870,3018,1852,4630,240
2010,Rural,Jammu & Kashmir,Other Crimes,Drug Offense,Female,13-17,3162,181,2981,2801,361
2003,Urban,Manipur,Crime Against Women,Rape,Female,13-17,4177,2708,1469,3610,567
2008,Urban,Nagaland,Crime Against Children,Kidnapping,Male,18-30,4544,2500,2044,3370,1174
2007,Rural,West Bengal,Property Crime,Arson,Male,60+,1416,1329,87,1332,84
2010,Urban,Mizoram,Property Crime,Vandalism,Male,46-60,9382,5133,4249,8014,1368
2004,Urban,Andhra Pradesh,Property Crime,Arson,Female,18-30,2858,2157,701,2686,172
2008,Rural,Karnataka,Other Crimes,Drug Offense,Female,18-30,5692,4743,949,5687,5
2005,Rural,Assam,Crime Against Women,Dowry Deaths,Female,60+,9382,4762,4620,4840,4542
2008,Urban,Bihar,Other Crimes,Drug Offense,Male,31-45,8712,2637,6075,2704,6008
2005,Rural,Assam,Property Crime,Arson,Female,31-45,764,92,672,472,292
2010,Urban,Himachal Pradesh,Crime Against Children,Child Abuse,Female,0-12,3696,3514,182,3606,90
2010,Urban,Kerala,Crime Against Children,Kidnapping,Female,46-60,57,36,21,39,18
2002,Urban,Karnataka,Crime Against Men,Robbery,Male,0-12,1334,873,461,1222,112
2010,Rural,Bihar,Property Crime,Burglary,Female,31-45,1458,988,470,1169,289
2008,Rural,Uttar Pradesh,Property Crime,Vandalism,Male,31-45,5695,3867,1828,4091,1604
2002,Urban,Telangana,Other Crimes,Fraud,Female,31-45,9046,322,8724,584,8462
2002,Rural,Karnataka,Property Crime,Vandalism,Female,18-30,7105,6929,176,7008,97
2002,Urban,Sikkim,Crime Against Women,Domestic Violence,Male,13-17,7128,2837,4291,5722,1406
2002,Rural,Uttarakhand,Other Crimes,Corruption,Male,18-30,6548,5752,796,6254,294
2005,Urban,Kerala,Crime Against Women,Domestic Violence,Female,46-60,7414,1956,5458,5900,1514
2004,Rural,Uttar Pradesh,Crime Against Women,Molestation,Male,60+,4834,2033,2801,3925,909
2004,Rural,Kerala,Crime Against Women,Rape,Female,0-12,2385,1772,613,1913,472
2004,Rural,Goa,Crime Against Men,Extortion,Male,18-30,3065,2193,872,2271,794
2002,Urban,Haryana,Property Crime,Vandalism,Male,13-17,8421,682,7739,5031,3390
2006,Rural,Manipur,Crime Against Women,Domestic Violence,Female,13-17,4664,3469,1195,4632,32
2009,Urban,Maharashtra,Crime Against Men,Assault,Female,31-45,3794,3384,410,3476,318
2006,Rural,Gujarat,Crime Against Men,Assault,Male,31-45,5726,358,5368,3704,2022
2005,Urban,Jammu & Kashmir,Crime Against Children,Child Labor,Male,18-30,911,342,569,656,255
2001,Urban,Tripura,Crime Against Children,Trafficking,Male,60+,7220,1661,5559,1741,5479
2007,Urban,Sikkim,Other Crimes,Corruption,Male,60+,8666,4825,3841,5275,3391
2004,Rural,Kerala,Property Crime,Theft,Male,18-30,2866,2773,93,2833,33
2001,Rural,Himachal Pradesh,Crime Against Children,Child Abuse,Male,13-17,8456,7081,1375,7326,1130
2006,Rural,Tripura,Property Crime,Arson,Female,31-45,4740,3222,1518,3431,1309
2006,Urban,Sikkim,Other Crimes,Fraud,Female,60+,4080,2062,2018,2301,1779
2001,Rural,Tamil Nadu,Crime Against Women,Rape,Female,60+,4694,541,4153,1554,3140
2008,Urban,Gujarat,Property Crime,Theft,Female,31-45,87,68,19,80,7
2009,Urban,Bihar,Crime Against Women,Molestation,Male,46-60,6681,945,5736,5195,1486
2003,Urban,Manipur,Crime Against Women,Dowry Deaths,Female,13-17,1591,951,640,1293,298
2008,Urban,Himachal Pradesh,Other Crimes,Cyber Crime,Female,0-12,9713,9589,124,9689,24
2009,Rural,Jammu & Kashmir,Crime Against Women,Rape,Male,31-45,9057,8900,157,9037,20
2001,Urban,Uttar Pradesh,Crime Against Men,Murder,Male,13-17,807,73,734,330,477
2002,Rural,Gujarat,Crime Against Women,Rape,Male,46-60,3655,1977,1678,2177,1478
2005,Rural,Assam,Crime Against Men,Assault,Female,31-45,5453,1912,3541,2021,3432
2006,Rural,Arunachal Pradesh,Crime Against Children,Child Labor,Female,0-12,1230,285,945,1043,187
2001,Rural,Andhra Pradesh,Property Crime,Theft,Male,18-30,7014,2331,4683,2925,4089
2005,Rural,Mizoram,Crime Against Women,Molestation,Female,60+,4949,4102,847,4280,669
2005,Urban,Karnataka,Crime Against Men,Murder,Female,31-45,9143,4020,5123,7933,1210
2010,Rural,Arunachal Pradesh,Property Crime,Vandalism,Female,13-17,7179,2697,4482,5006,2173
2008,Urban,Delhi,Property Crime,Burglary,Female,0-12,3216,1547,1669,2881,335
2004,Rural,Odisha,Crime Against Women,Rape,Male,18-30,2383,482,1901,1500,883
2008,Rural,Uttarakhand,Crime Against Men,Extortion,Male,31-45,8372,4337,4035,5862,2510
2001,Urban,Bihar,Crime Against Children,Trafficking,Male,13-17,2452,628,1824,1561,891
2003,Rural,Odisha,Crime Against Men,Assault,Female,13-17,5382,1310,4072,2337,3045
2005,Rural,Uttar Pradesh,Other Crimes,Corruption,Male,31-45,834,755,79,762,72
2004,Rural,Assam,Other Crimes,Cyber Crime,Female,60+,4638,732,3906,4188,450
2001,Rural,Goa,Crime Against Children,Child Abuse,Female,13-17,9190,8839,351,9043,147
2010,Rural,Bihar,Crime Against Children,Child Labor,Male,46-60,1474,799,675,1466,8
2008,Rural,Assam,Crime Against Children,Child Labor,Female,60+,1882,1635,247,1836,46
2009,Rural,Meghalaya,Crime Against Children,Child Labor,Male,18-30,8259,1625,6634,7737,522
2005,Urban,Meghalaya,Crime Against Children,Kidnapping,Male,18-30,4723,3837,886,4050,673
2003,Rural,Tripura,Crime Against Women,Rape,Male,0-12,71,55,16,68,3
2007,Urban,Delhi,Property Crime,Burglary,Female,46-60,6315,547,5768,1706,4609
2006,Rural,Chhattisgarh,Crime Against Women,Molestation,Male,46-60,8395,262,8133,3022,5373
2008,Urban,Sikkim,Property Crime,Arson,Male,60+,2850,2567,283,2828,22
2004,Urban,Meghalaya,Crime Against Children,Kidnapping,Female,13-17,1697,1386,311,1692,5
2010,Rural,Punjab,Other Crimes,Fraud,Male,60+,7684,3357,4327,3714,3970
2003,Rural,Kerala,Crime Against Men,Extortion,Male,18-30,4400,1214,3186,3167,1233
2007,Urban,Karnataka,Crime Against Children,Child Abuse,Female,18-30,8857,3946,4911,4723,4134
2005,Urban,Himachal Pradesh,Crime Against Women,Dowry Deaths,Female,18-30,9576,1874,7702,3378,6198
2008,Urban,Delhi,Other Crimes,Fraud,Female,31-45,796,727,69,740,56
2010,Rural,Tamil Nadu,Other Crimes,Cyber Crime,Male,18-30,287,54,233,71,216
2004,Rural,Punjab,Crime Against Children,Child Abuse,Female,18-30,7481,6287,1194,6657,824
2005,Urban,Meghalaya,Property Crime,Arson,Male,60+,3461,857,2604,1891,1570
2010,Urban,Punjab,Property Crime,Vandalism,Female,13-17,1239,703,536,1199,40
2004,Rural,Madhya Pradesh,Crime Against Children,Child Abuse,Female,46-60,7357,1304,6053,3425,3932
2002,Rural,Chhattisgarh,Other Crimes,Drug Offense,Male,18-30,2748,1756,992,1797,951
2009,Rural,Maharashtra,Crime Against Women,Molestation,Female,60+,3759,2137,1622,3710,49
2010,Rural,Jharkhand,Crime Against Men,Extortion,Female,46-60,8041,1159,6882,5879,2162
2005,Urban,Haryana,Crime Against Children,Child Labor,Male,0-12,8073,615,7458,1197,6876
2003,Urban,Jharkhand,Property Crime,Vandalism,Male,13-17,6180,404,5776,3592,2588
2006,Rural,Mizoram,Other Crimes,Corruption,Male,60+,4041,643,3398,1154,2887
2002,Rural,Telangana,Crime Against Women,Dowry Deaths,Female,0-12,7128,3709,3419,6679,449
2001,Rural,Mizoram,Crime Against Men,Assault,Male,0-12,276,105,171,181,95
2003,Urban,Uttar Pradesh,Property Crime,Burglary,Male,18-30,1170,1040,130,1148,22
2002,Urban,Sikkim,Crime Against Women,Dowry Deaths,Female,13-17,8824,5726,3098,6444,2380
2006,Rural,Tamil Nadu,Crime Against Men,Robbery,Male,31-45,7301,952,6349,3750,3551
2003,Urban,Karnataka,Other Crimes,Cyber Crime,Male,31-45,3776,1887,1889,2113,1663
2005,Rural,Manipur,Property Crime,Arson,Male,0-12,7498,2819,4679,4340,3158
2005,Urban,Haryana,Crime Against Men,Robbery,Male,18-30,3692,3011,681,3589,103
2004,Urban,Manipur,Crime Against Men,Extortion,Female,60+,3756,2560,1196,3379,377
2009,Rural,Sikkim,Crime Against Children,Child Labor,Female,18-30,1967,244,1723,376,1591
2008,Urban,Madhya Pradesh,Crime Against Children,Child Abuse,Female,13-17,4225,1951,2274,4173,52
2003,Rural,Tamil Nadu,Crime Against Men,Robbery,Female,0-12,5955,2385,3570,3763,2192
2007,Rural,Kerala,Property Crime,Vandalism,Female,46-60,6132,2598,3534,2739,3393
2009,Rural,West Bengal,Crime Against Women,Dowry Deaths,Male,60+,5174,3011,2163,4045,1129
2009,Urban,Haryana,Other Crimes,Cyber Crime,Male,46-60,6365,671,5694,3040,3325
2005,Rural,Rajasthan,Crime Against Women,Rape,Female,46-60,6893,3248,3645,5831,1062
2001,Urban,West Bengal,Other Crimes,Cyber Crime,Female,46-60,7094,3670,3424,5873,1221
2008,Urban,Gujarat,Property Crime,Theft,Male,0-12,7915,1853,6062,4283,3632
2007,Urban,Assam,Other Crimes,Drug Offense,Female,60+,1649,330,1319,1108,541
2007,Urban,Punjab,Crime Against Children,Child Abuse,Male,0-12,4215,3841,374,4195,20
2008,Rural,West Bengal,Property Crime,Theft,Male,0-12,6614,3435,3179,3886,2728
2002,Rural,Odisha,Other Crimes,Fraud,Male,18-30,2119,1237,882,1801,318
2006,Rural,Mizoram,Crime Against Children,Kidnapping,Male,60+,8760,5916,2844,7585,1175
2009,Rural,Jharkhand,Crime Against Women,Molestation,Female,60+,2217,930,1287,1147,1070
2005,Urban,Manipur,Crime Against Children,Kidnapping,Female,13-17,9019,1218,7801,7525,1494
2008,Rural,Telangana,Crime Against Children,Kidnapping,Female,18-30,8334,2574,5760,2790,5544
2008,Urban,Arunachal Pradesh,Property Crime,Burglary,Female,60+,8095,5024,3071,7205,890
2008,Urban,Nagaland,Property Crime,Burglary,Female,13-17,8494,2233,6261,6069,2425
2007,Rural,Maharashtra,Crime Against Men,Robbery,Male,31-45,7730,696,7034,5043,2687
2006,Rural,Rajasthan,Crime Against Men,Robbery,Female,46-60,7220,5497,1723,6431,789
2008,Urban,Meghalaya,Crime Against Men,Assault,Female,46-60,6561,6401,160,6405,156
2009,Urban,Bihar,Other Crimes,Drug Offense,Male,60+,3977,2549,1428,3559,418
2009,Urban,Gujarat,Property Crime,Burglary,Male,0-12,8401,3767,4634,4635,3766
2001,Urban,Jharkhand,Crime Against Men,Robbery,Male,60+,6093,4085,2008,5238,855
2008,Urban,Andhra Pradesh,Crime Against Men,Murder,Male,31-45,2658,1795,863,2292,366
2002,Urban,Jammu & Kashmir,Crime Against Women,Domestic Violence,Female,0-12,7330,6818,512,7010,320
2002,Rural,Karnataka,Property Crime,Arson,Male,31-45,9137,6576,2561,8951,186
2008,Rural,Uttar Pradesh,Property Crime,Arson,Female,60+,9423,5176,4247,5842,3581
2001,Rural,West Bengal,Crime Against Women,Molestation,Female,31-45,6620,1901,4719,2790,3830
2001,Urban,Tamil Nadu,Other Crimes,Drug Offense,Male,46-60,7603,1509,6094,4570,3033
2009,Urban,West Bengal,Other Crimes,Corruption,Male,18-30,4361,1394,2967,1731,2630
2003,Rural,Karnataka,Other Crimes,Fraud,Female,13-17,2595,1146,1449,1238,1357
2001,Urban,Jammu & Kashmir,Crime Against Men,Assault,Male,46-60,5873,1885,3988,2127,3746
2008,Urban,Jammu & Kashmir,Other Crimes,Fraud,Male,31-45,3518,2388,1130,2613,905
2001,Rural,Delhi,Crime Against Children,Child Abuse,Female,60+,1573,992,581,1228,345
2008,Urban,Andhra Pradesh,Property Crime,Vandalism,Male,60+,6356,4244,2112,5475,881
2005,Rural,Bihar,Other Crimes,Corruption,Female,60+,6075,5096,979,6003,72
2008,Urban,Nagaland,Other Crimes,Drug Offense,Female,46-60,7376,1953,5423,6500,876
2006,Rural,Madhya Pradesh,Property Crime,Burglary,Male,31-45,9461,4341,5120,6023,3438
2009,Rural,Rajasthan,Property Crime,Arson,Female,13-17,5539,4651,888,4663,876
2009,Urban,Delhi,Property Crime,Vandalism,Female,0-12,7524,7066,458,7118,406
2007,Rural,Chhattisgarh,Other Crimes,Cyber Crime,Male,13-17,6588,5041,1547,5129,1459
2007,Urban,Sikkim,Property Crime,Theft,Female,60+,7239,3114,4125,3809,3430
2007,Urban,Punjab,Crime Against Women,Rape,Female,18-30,1302,817,485,827,475
2008,Urban,Assam,Crime Against Men,Extortion,Female,0-12,5895,3232,2663,4437,1458
2001,Urban,Maharashtra,Crime Against Men,Assault,Male,31-45,5182,4029,1153,5104,78
2005,Urban,Andhra Pradesh,Property Crime,Burglary,Female,31-45,9682,1570,8112,1844,7838
2010,Rural,Karnataka,Other Crimes,Cyber Crime,Male,31-45,4549,124,4425,418,4131
2006,Urban,Arunachal Pradesh,Crime Against Men,Extortion,Male,46-60,7449,6143,1306,6591,858
2004,Urban,Himachal Pradesh,Crime Against Women,Rape,Male,31-45,2543,1924,619,2292,251
2005,Rural,Rajasthan,Crime Against Children,Kidnapping,Male,0-12,991,339,652,983,8
2008,Urban,Assam,Crime Against Men,Extortion,Female,60+,5213,4906,307,5136,77
2006,Urban,Uttarakhand,Other Crimes,Fraud,Female,18-30,2027,805,1222,1862,165
2008,Urban,Bihar,Other Crimes,Corruption,Female,13-17,9744,7598,2146,8551,1193
2008,Rural,Maharashtra,Crime Against Women,Domestic Violence,Female,18-30,8477,954,7523,5214,3263
2004,Rural,Chhattisgarh,Property Crime,Vandalism,Female,60+,4229,557,3672,3487,742
2010,Urban,Uttarakhand,Crime Against Children,Trafficking,Female,60+,5793,689,5104,4109,1684
2004,Rural,Sikkim,Crime Against Men,Murder,Male,46-60,5646,1644,4002,2635,3011
2007,Urban,Mizoram,Property Crime,Arson,Female,60+,5313,757,4556,2988,2325
2001,Rural,Tripura,Property Crime,Theft,Male,60+,4410,413,3997,3566,844
2006,Urban,Uttar Pradesh,Crime Against Men,Extortion,Male,13-17,3622,1574,2048,3451,171
2008,Urban,Sikkim,Crime Against Men,Robbery,Male,18-30,6159,1957,4202,2327,3832
2002,Urban,Jammu & Kashmir,Property Crime,Theft,Female,0-12,7786,6588,1198,7112,674
2004,Rural,Gujarat,Crime Against Children,Trafficking,Male,0-12,3083,2950,133,2986,97
2005,Rural,Bihar,Crime Against Men,Extortion,Female,13-17,7247,3531,3716,5170,2077
2005,Urban,Goa,Crime Against Men,Murder,Female,60+,1534,222,1312,537,997
2009,Rural,Meghalaya,Crime Against Women,Dowry Deaths,Male,60+,4470,2056,2414,4259,211
2005,Urban,Uttar Pradesh,Other Crimes,Drug Offense,Female,13-17,8274,6637,1637,8021,253
2002,Rural,Madhya Pradesh,Crime Against Men,Murder,Female,18-30,7519,342,7177,650,6869
2006,Urban,Sikkim,Crime Against Children,Child Abuse,Male,18-30,8432,4434,3998,6846,1586
2007,Rural,Kerala,Other Crimes,Cyber Crime,Female,18-30,501,479,22,485,16
2002,Urban,Delhi,Crime Against Men,Extortion,Male,31-45,3987,1154,2833,3222,765
2009,Rural,Telangana,Property Crime,Arson,Female,46-60,4181,1205,2976,2653,1528
2009,Urban,Rajasthan,Property Crime,Arson,Male,0-12,8851,786,8065,5096,3755
2006,Rural,Bihar,Crime Against Women,Dowry Deaths,Female,46-60,9491,2453,7038,9436,55
2002,Urban,Rajasthan,Other Crimes,Corruption,Female,31-45,4096,1838,2258,3511,585
2007,Rural,Mizoram,Property Crime,Vandalism,Male,13-17,3711,2635,1076,2764,947
2002,Rural,Uttar Pradesh,Crime Against Men,Assault,Male,13-17,650,375,275,463,187
2005,Rural,Delhi,Property Crime,Vandalism,Female,46-60,9849,1994,7855,2186,7663
2008,Rural,Assam,Crime Against Women,Rape,Male,0-12,1222,916,306,1190,32
2002,Rural,Karnataka,Crime Against Children,Kidnapping,Male,18-30,5063,1098,3965,4790,273
2008,Urban,Jammu & Kashmir,Property Crime,Vandalism,Female,31-45,2077,1756,321,2029,48
2005,Urban,Punjab,Property Crime,Theft,Male,0-12,3433,330,3103,2356,1077
2004,Rural,Delhi,Crime Against Men,Extortion,Male,13-17,7939,7046,893,7337,602
2010,Urban,Sikkim,Crime Against Men,Extortion,Male,0-12,8762,8617,145,8757,5
2005,Rural,Bihar,Crime Against Men,Extortion,Female,0-12,907,286,621,842,65
2006,Rural,Jharkhand,Other Crimes,Corruption,Female,46-60,4132,538,3594,2134,1998
2003,Rural,Uttar Pradesh,Crime Against Children,Kidnapping,Female,0-12,325,106,219,218,107
2001,Urban,Odisha,Crime Against Men,Assault,Female,0-12,4240,2357,1883,3637,603
2002,Rural,Tripura,Other Crimes,Corruption,Female,0-12,4358,3920,438,3924,434
2008,Rural,Himachal Pradesh,Other Crimes,Fraud,Female,46-60,3089,393,2696,2481,608
2005,Rural,Kerala,Crime Against Men,Extortion,Male,31-45,1583,462,1121,462,1121
2002,Rural,Maharashtra,Property Crime,Burglary,Female,31-45,5902,5877,25,5887,15
2005,Rural,Madhya Pradesh,Property Crime,Vandalism,Male,46-60,9285,5961,3324,8673,612
2005,Rural,Punjab,Crime Against Children,Child Labor,Female,60+,278,210,68,254,24
2008,Urban,Karnataka,Property Crime,Burglary,Male,13-17,806,527,279,747,59
2009,Urban,Delhi,Property Crime,Vandalism,Female,0-12,5209,2739,2470,3547,1662
2006,Rural,Kerala,Crime Against Children,Child Abuse,Female,46-60,6999,4440,2559,5855,1144
2003,Urban,Karnataka,Crime Against Children,Trafficking,Male,13-17,8990,1603,7387,6755,2235
2008,Rural,Andhra Pradesh,Other Crimes,Drug Offense,Female,46-60,3611,2475,1136,3603,8
2005,Urban,Maharashtra,Property Crime,Arson,Female,18-30,2848,1335,1513,2612,236
2004,Rural,Sikkim,Crime Against Women,Rape,Female,13-17,6688,1041,5647,3705,2983
2004,Urban,West Bengal,Other Crimes,Drug Offense,Female,0-12,6976,2104,4872,4769,2207
2004,Rural,Karnataka,Crime Against Women,Dowry Deaths,Male,60+,8198,7203,995,8182,16
2008,Urban,Mizoram,Property Crime,Burglary,Female,60+,8349,5239,3110,6886,1463
